
MP7: 
| ImageID | Keypoints | Detector |
| 5 | ORB | 7.23388 | 39.2412 |
| 6 | ORB | 7.17747 | 38.384 |
| 7 | ORB | 7.46778 | 38.9517 |
| 8 | ORB | 7.29803 | 39.653 |
| 9 | ORB | 7.51688 | 39.393 |
| 0 | SHITOMASI | 11.8354 | 39.398 |
| 1 | SHITOMASI | 11.5639 | 39.5011 |
| 2 | SHITOMASI | 11.0271 | 39.044 |
| 3 | SHITOMASI | 11.46 | 38.8779 |
| 4 | SHITOMASI | 11.6458 | 38.5647 |
| 5 | SHITOMASI | 11.3241 | 40.1367 |
| 6 | SHITOMASI | 11.9555 | 39.0991 |
| 7 | SHITOMASI | 11.3103 | 38.7717 |
| 8 | SHITOMASI | 11.5273 | 39.3254 |
| 9 | SHITOMASI | 11.3675 | 39.6441 |
| 0 | SIFT | 123.081 | 39.5178 |
| 1 | SIFT | 125.72 | 40.2926 |
